Iman Shumpert,CLE,SG,21st,11,35.3,24.9,30.45,21.44,57
Luol Deng,LAL,SF,20th,2,33.2,26.5,24.15,15.34,51
Allen Crabbe,POR,SG,1st,3.1,30.4,28.0,27.30,14.82,54
Brian Roberts,CHA,PG,19th,3.2,18.9,7.0,12.61,9.89,15
Jeff Withey,UTA,C,28th,0,10,8.3,0.00,0.00,33
Raulzinho Neto,UTA,PG,10th,0,10.3,7.3,0.00,0.00,0
Dante Exum,UTA,SG,10th,0,22,18.0,14.60,9.01,40
Malcolm Delaney,ATL,PG,14th,1.7,23.2,17.2,17.20,10.92,49
Taurean Prince,ATL,SF,23rd,0,17.7,10.0,7.28,5.10,19
Lamar Patterson,ATL,SG,15th,0,5.7,6.3,0.00,0.00,2
Mike Muscala,ATL,PF,20th,3.7,26.9,19.8,18.80,13.61,58
Joe Ingles,UTA,SG,3rd,2.9,34.8,21.2,26.19,16.58,40
Trey Lyles,UTA,PF,24th,0,24.5,18.1,14.50,10.09,51
Mike Dunleavy,ATL,SF,23rd,0,19.1,15.5,10.00,6.39,36
Brandon Bass,LAC,C,10th,0,12.3,11.5,0.00,0.00,35
Alan Anderson,LAC,SG,22nd,0,12.1,10.7,5.46,2.97,11
Noah Vonleh,POR,PF,3rd,6.2,27.3,12.4,20.68,15.22,34
Shabazz Napier,POR,PG,2nd,0,14.8,8.2,5.40,4.05,27
Pat Connaughton,POR,SG,1st,1.9,13.3,6.8,12.48,6.81,28
Tim Quarterman,POR,PG,1st,0,4.6,3.0,0.00,0.00,28
Joe Johnson,UTA,SF,3rd,0.2,30.4,22.0,19.50,13.12,44
Wesley Johnson,LAC,SF,26th,0,19.4,12.7,9.27,6.82,34
Boris Diaw,UTA,C,24th,2.1,27.2,17.6,18.80,12.86,28
Luc Mbah a Moute,LAC,SF,10th,4.2,27,22.2,24.72,13.97,47
Alec Burks,UTA,PG,11th,3.5,30.4,14.6,19.20,15.03,29
Marreese Speights,LAC,C,12th,0,27.6,16.0,12.10,11.76,58
Thabo Sefolosha,ATL,SF,23rd,4.4,32.3,25.4,27.54,16.33,58
Toney Douglas,MEM,PG,24th,0,26.4,16.3,11.20,9.51,33
C.J. Watson,ORL,PG,7th,4.1,31.3,16.8,25.25,15.73,25
D.J. Augustin,ORL,PG,7th,1.4,23.8,20.1,17.70,10.97,58
Damjan Rudez,ORL,SG,4th,0,14.9,7.8,7.28,4.08,0
Mario Hezonja,ORL,SF,20th,0,20.4,10.9,11.40,7.30,14
Wayne Ellington,MIA,SG,30th,0,29.8,26.1,14.40,11.91,50
Luke Babbitt,MIA,PF,28th,0,17.7,15.1,8.37,4.89,26
Willie Reed,MIA,C,29th,0,26.5,14.1,8.10,6.58,23
Rodney McGruder,MIA,SF,30th,4.6,29.6,25.7,22.08,15.30,50
Jeff Green,ORL,SF,4th,5.6,31.9,22.5,23.40,16.89,51
Dejounte Murray,SAS,PG,25th,0,15.8,9.0,0.00,0.00,0
