Shelvin Mack,UTA,PG,18.51,1.95,0.58,2.15,2.84,0.49,0.03,1.76,6.43
Aaron Brooks,IND,PG,17.57,1.63,0.81,1.38,2.73,0.53,0.12,1.44,6.36
Andre Iguodala,GSW,SF,29.14,1.58,0.70,4.79,4.32,1.00,0.42,1.11,6.31
Dwight Powell,DAL,PF,13.80,2.26,0.03,3.67,0.60,0.46,0.38,0.44,6.30
Leandro Barbosa,PHX,SG,14.05,1.93,0.55,1.78,1.16,0.45,0.11,0.72,6.28
Cameron Payne,OKC,PG,15.83,1.67,0.88,1.69,2.06,0.58,0.15,1.20,6.25
Justin Hamilton,BKN,PF,15.73,1.49,0.91,3.63,0.68,0.32,0.63,0.72,6.24
Kelly Oubre Jr.,WAS,SF,20.96,1.05,0.93,4.29,0.71,0.85,0.28,0.94,6.24
Mike Dunleavy,ATL,SF,17.49,0.88,1.24,2.32,1.05,0.34,0.17,0.72,6.23
Trey Lyles,UTA,PF,14.69,1.36,0.92,2.94,0.89,0.31,0.17,0.85,6.23
D.J. Augustin,ORL,PG,18.61,0.83,1.09,1.41,3.09,0.41,0.04,1.24,6.22
Spencer Dinwiddie,BKN,PG,22.55,1.58,0.35,2.88,3.22,0.52,0.33,1.58,6.22
Tyson Chandler,PHX,C,26.06,2.41,0.00,10.90,0.96,0.61,0.50,1.79,6.21
Luke Babbitt,MIA,SF,15.64,1.02,1.18,2.57,0.80,0.22,0.14,0.44,6.21
Ray McCallum,CHA,PG,17.39,1.92,0.49,2.16,2.46,0.54,0.32,1.20,6.16
Alexis Ajinca,NO,C,14.26,2.57,0.00,4.05,0.47,0.32,0.66,1.01,6.15
Manu Ginobili,SA,SG,15.51,0.91,1.08,1.96,2.08,0.73,0.19,1.35,6.13
Malcolm Delaney,ATL,PG,18.41,1.83,0.45,2.14,3.01,0.55,0.02,1.61,6.05
Rodney McGruder,MIA,PG,24.54,1.17,0.98,3.59,1.67,0.73,0.19,0.82,6.05
James Ennis III,MEM,SG,22.18,0.93,1.00,3.70,1.22,0.89,0.38,1.12,6.05
Kevon Looney,GSW,SF,13.08,2.41,0.04,4.30,1.04,0.36,0.63,0.60,6.04
Alex Abrines,OKC,SG,12.37,0.56,1.52,1.18,0.55,0.42,0.10,0.72,6.02
Matthew Dellavedova,MIL,PG,24.34,1.27,0.96,2.14,5.18,0.57,0.04,1.70,5.95
Al Jefferson,IND,C,9.25,2.45,0.00,2.42,0.48,0.19,0.20,0.33,5.93
Timothe Luwawu-Cabarrot,PHI,SG,15.05,1.68,0.43,2.30,1.19,0.23,0.21,1.17,5.89
Joffrey Lauvergne,OKC,PF,14.64,2.26,0.23,3.70,0.90,0.25,0.12,1.04,5.85
Brandon Bass,LAC,SF,13.86,2.04,0.00,2.68,0.73,0.32,0.35,0.65,5.83
Gerald Green,BOS,SG,14.10,1.30,0.84,1.74,0.63,0.29,0.11,0.48,5.79
Alex Len,PHX,C,14.92,2.17,0.00,4.93,0.66,0.27,0.65,1.24,5.77
